Name of Selection,File or Volume Number,Composer,Arranger,Arranger,Voicing,Description
Deep River,28,arr. Burleigh,,,TTBB,Spiritual
Die Rose Stand im Tau,30,"SCHUMANN, R.","STONE, K.","RUKERT, F.",TTBBB,German Lieder
Do You Hear What I Hear?,29,arr. Simeone,"SIMEONE, H.",REGNEY & SHAYNE,TTBB,Christmas
"Donovans, The",234,Needham/Simeone,,,,Irish  Folk Song
Don't Be Cruel,81,McGilvrey,Lojeski,,TBB,Pop
Don't Get Around Much Anymore,307,Rogers,,,,Swing
Don't Nobody Bring Me No Bad News,72,,,,TTBB,Broadway Musical
Down in the Valley,27,MEAD,"MEAD, G.",,TTBB,Folk SONG
Dream,163,,,,TTBB,Pop
"Gently, Johnny, My Gigalo",91,arr/William Hall,"HALL, W.",UNKNOWN,TTBB,English Folk song
Get Me to the Church On Time,130,"LERNER, A./Stickles",Lojeski,"LOWE, F.",TTBB,Broadway Musical
"Good-Bye, Fare Thee Well",25,arr. Luboff,"LUBOFF, N.",,TTBB,Chantey
Goodnight Sweetheart,37,Lowjeski,,,TTBB,Pop
"Gotta Party, Gloria, The Heat is On, You Really Got Me",373,Lojeski,,,TTBB,Pop
"Hey Lidi, Lidi Low",39,,McGilvrey,,TTBB,Pop
Homeward Bound,290,/Strommen,,,,Chantey
If I Were a Rich Man,112,"BOCK, J./Artman","ARTMAN, R.","HARNICK, S.",,Broadway Musical
Lord's Prayer,208,Joe Allen,"Allen, J.",,TTBB,Sacred
Moonlight in Vermont,314,Rogers,,,,Pop
Mother Machree,281,Ball/Gentry,,,,Irish Folk Song
O Holy Night,318,Adophe Adam,,,SATB,Christmas
Old Irish Blessing,356,Noonan/Goodrich,,,TTBB,Irish Folk Song
Old Man Noah,45,Bartholomew,"BARTHOLOMEW, M.",,TTBB,Chantey
Once Upon a Time,43,Strouse,Simon,Adams,TTBB,Broadway Musical
Over the Sea to Skye,403,"Porterfield, Sherri",,,TTB,Chantey
Pianist Folder with Single Copies,0,,Wilhousky,,,
Sailors Song,372,"DeWitt, Patty",,,TTBB,Art Song
San Francisco,52,KAPER/JURMANN,,"KAHN, G.",Solo,Movie Score
Sick of the Songs of the Sea,294,Bennett,,,,Chantey
Silent Night,56,Gruber,,Mohr,TTBB,Christmas
Silent Night,57,Gruber/Thorne,Thorne,,TTBB,Christmas
Sleigh Ride,62,ANDERSON/Ades,ANDERSON,ANDERSON,TTB,Christmas
Standchen,71,"SCHUBERT, F./Parker-Shaw","SHAW, R.",GRILLPARZER - PARKER,TTBB,German Lieder
"Still, Still, Still",167,/Wetzler,"Schmit, C.",,TT,German Christmas Carol
Stille Nacht (Silent Night),279,Gruber,,,,Christmas Unison
Swansea Town,221,,"SHAW, R.",,,Chantey
Wunderbar,256,Porter/Allan,,,TTBB,Broadway Show
